Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,Unnamed: 39,Unnamed: 40,Unnamed: 41,1,Unnamed: 43,Unnamed: 44
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,10856,RB,DO,146,,1.0977,,0.3286,,199.233,,59.6399,,3.3406,,1.8033,,,33232652,,101139444,,30275821,,507644,,56084904,,3314181,,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,3458,RB,DO,31,,0.742,,0.1552,,287.7096,,60.1704,,4.7816,,0.7209,,,5318843,,34276862,,7168515,,119137,,47544324,,1943594,,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2423,RB,DO,34,,1.0048,,0.3007,,278.7902,,83.438,,3.3413,,1.7638,,,10590933,,35219290,,10540640,,126329,,19967570,,1032038,,No,,,,,,
Central Florida Regional Transportation Authority,Orlando,FL,4035,40035,Independent Public Agency or Authority of Transit Service,Full Reporter,1510516,603,RB,DO,14,,0.0,,0.0,,78.6148,,21.6891,,3.6246,,4.8982,,,0,,3763603,,1038345,,47874,,768372,,291005,,No,,,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,1780673,472,RB,DO,13,,1.1841,,0.8023,,89.3032,,60.5042,,1.476,,0.5545,,,4457439,,5555996,,3764271,,62215,,10019677,,548234,,No,,,,,,
Greater Richmond Transit Company,Richmond,VA,3006,30006,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,953556,330,RB,DO,8,,0.2507,,0.1522,,107.2389,,65.088,,1.6476,,0.6186,,,14278,,93834,,56952,,875,,151694,,8349,,No,,,,,,
Kansas City Area Transportation Authority,Kansas City,MO,7005,70005,Independent Public Agency or Authority of Transit Service,Full Reporter,1519417,311,RB,DO,11,,0.3906,,0.0746,,134.9359,,25.7637,,5.2375,,1.9028,,,453222,,6076435,,1160189,,45032,,3193498,,455147,,No,,,,,,
Lane Transit District,Eugene,OR,7,7,Independent Public Agency or Authority of Transit Service,Full Reporter,247421,242,RB,DO,13,,0.7331,,0.2549,,169.0872,,58.7958,,2.8758,,1.103,,,2563108,,10054773,,3496291,,59465,,9115927,,685086,,No,,,,,,
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,1048,10048,State Government Unit or Department of Transportation,Full Reporter,924859,236,RB,DO,9,,0.7539,,0.132,,220.3195,,38.5895,,5.7093,,1.0949,,,1173553,,8887468,,1556661,,40339,,8117335,,680798,,No,,,,,,
Interurban Transit Partnership,Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,569935,229,RB,DO,8,,1.05,,0.3926,,81.9961,,30.6612,,2.6743,,0.8843,,,889366,,2265142,,847015,,27625,,2561373,,370741,,No,,,,,,
Roaring Fork Transportation Authority,Glenwood Springs,CO,8R01-013,8R01-80289,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,94,RB,DO,26,,2.1473,,0.218,,134.5268,,13.6592,,9.8488,,0.0,,,1976240,,9064278,,920343,,67379,,0,,1814217,,No,,,,,,
"City of Fort Collins, dba: Transfort",Fort Collins,CO,8011,80011,"City, County or Local Government Unit or Department of Transportation",Full Reporter,264465,52,RB,DO,6,,0.578,,0.2542,,109.1996,,48.0188,,2.2741,,0.9014,,,848592,,3338449,,1468030,,30572,,3703451,,314091,,No,,,,,,
