Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,Unnamed: 39,Unnamed: 40,Unnamed: 41,0,Unnamed: 43,Unnamed: 44
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295.0,10885.0,RB,DO,146.0,,1.0578,,0.315,,199.1644,,59.3132,,3.3578,,1.8059,,,32469300.0,,103071355.0,,30695695.0,,517519.0,,57076245.0,,3382426.0,,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996.0,3469.0,RB,DO,26.0,,0.7284,,0.1947,,231.8032,,61.9555,,3.7414,,0.5678,,,4997045.0,,25666876.0,,6860145.0,,110727.0,,45206002.0,,1719522.0,,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019.0,2464.0,RB,DO,42.0,,0.9249,,0.3903,,139.5131,,58.8718,,2.3698,,1.172,,,10627552.0,,27230718.0,,11490833.0,,195184.0,,23235147.0,,1474538.0,,No,,,,,,
Central Florida Regional Transportation Authority,Orlando,FL,4035,40035,Independent Public Agency or Authority of Transit Service,Full Reporter,1510516.0,681.0,RB,DO,13.0,,0.0,,0.0,,80.527,,21.9927,,3.6615,,5.3049,,,0.0,,3809090.0,,1040300.0,,47302.0,,718035.0,,283159.0,,No,,,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,1780673.0,461.0,RB,DO,11.0,,1.3647,,0.5666,,108.8566,,45.1932,,2.4087,,0.919,,,3587056.0,,6331207.0,,2628480.0,,58161.0,,6889599.0,,512489.0,,No,,,,,,
Kansas City Area Transportation Authority,Kansas City,MO,7005,70005,Independent Public Agency or Authority of Transit Service,Full Reporter,1519417.0,317.0,RB,DO,11.0,,0.4476,,0.0763,,143.5549,,24.4829,,5.8635,,2.2404,,,496644.0,,6505909.0,,1109564.0,,45320.0,,2903875.0,,455528.0,,No,,,,,,
Greater Richmond Transit Company,Richmond,VA,3006,30006,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,953556.0,316.0,RB,DO,9.0,,0.3657,,0.1449,,97.0601,,38.4644,,2.5234,,0.8465,W,,713596.0,,4924055.0,,1951376.0,,50732.0,,5817055.0,W,482653.0,,Yes,,,,,,
Interurban Transit Partnership,Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,569935.0,242.0,RB,DO,8.0,,1.05,,0.3811,,84.8807,,30.8078,,2.7552,,0.9372,,,893262.0,,2343897.0,,850726.0,,27614.0,,2501045.0,,370596.0,,No,,,,,,
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,1048,10048,State Government Unit or Department of Transportation,Full Reporter,924859.0,239.0,RB,DO,9.0,,0.6773,,0.1184,,221.4613,,38.7255,,5.7188,,1.1263,,,1069990.0,,9034293.0,,1579767.0,,40794.0,,8021426.0,,681772.0,,No,,,,,,
Indianapolis and Marion County Public Transportation,Indianapolis,IN,5050,50050,Independent Public Agency or Authority of Transit Service,Full Reporter,1487483.0,230.0,RB,DO,18.0,,0.2356,,0.0377,,189.6153,,30.3774,,6.242,,1.7247,,,165999.0,,4398506.0,,704665.0,,23197.0,,2550235.0,,304572.0,,No,,,,,,
Lane Transit District,Eugene,OR,7,7,Independent Public Agency or Authority of Transit Service,Full Reporter,247421.0,229.0,RB,DO,13.0,,0.7304,,0.2377,,191.2455,,62.2311,,3.0732,,1.2237,,,2768650.0,,11648574.0,,3790433.0,,60909.0,,9519529.0,,688848.0,,No,,,,,,
Roaring Fork Transportation Authority,Glenwood Springs,CO,8R01-013,8R01-80289,Independent Public Agency or Authority of Transit Service,Rural Reporter,0.0,102.0,RB,DO,26.0,,2.113,,0.2141,,139.3357,,14.1176,,9.8696,,0.0,,,2185904.0,,10210238.0,,1034512.0,,73278.0,,0.0,,1970173.0,,No,,,,,,
"City of Fort Collins, dba: Transfort",Fort Collins,CO,8011,80011,"City, County or Local Government Unit or Department of Transportation",Full Reporter,264465.0,55.0,RB,DO,6.0,,0.5858,,0.2488,,111.2786,,47.2721,,2.354,,0.9399,,,846626.0,,3402342.0,,1445344.0,,30575.0,,3619910.0,,314202.0,,No,,,,,,
