Name,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,Unnamed: 39,Unnamed: 40,Unnamed: 41,1,Unnamed: 43,Unnamed: 44
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,11000,RB,DO,108,,0.7827770057238951,,0.3272724052708104,,161.72095433939023,,67.61415488999653,,2.3918209819008878,,1.310784312923177,,,15725983,,48051662,,20089991,,297127,,36658710,,1818831,,No,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,3516,RB,DO,33,,0.7527736303348339,,0.2506175508031181,,201.94397873005943,,67.2323037222396,,3.0036748341148827,,0.4650635048072561,,,6472097,,25824596,,8597667,,127880,,55529182,,1969431,,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2344,RB,DO,30,,0.6096968173907276,,0.3083570427403807,,155.39006835291525,,78.58926040255773,,1.977243042585727,,1.2747874936842614,,,6084709,,19732674,,9979893,,126988,,15479187,,1049824,,No,,,,,,
Regional Transportation Commission of Southern Nevada,Las Vegas,NV,9045,90045,Independent Public Agency or Authority of Transit Service,Full Reporter,1886011,660,RB,PT,33,,0.8746679365568778,,0.4309592570289055,,71.28932353307587,,35.1250944728209,,2.0295838232759245,,0.47247755886118453,,,3699178,,8583591,,4229237,,120405,,18167193,,968708,,No,,,,,,
Central Florida Regional Transportation Authority,Orlando,FL,4035,40035,Independent Public Agency or Authority of Transit Service,Full Reporter,1510516,560,RB,DO,12,,0.0,,0.0,,65.91659503463619,,35.34330282651565,,1.8650377798077067,,1.694304349832114,,,0,,2607265,,1397969,,39554,,1538841,,235577,,No,,,,,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,50015,Independent Public Agency or Authority of Transit Service,Full Reporter,1780673,547,RB,DO,16,,1.0116854831171957,,0.7555409700175126,,89.438482498428,,66.7939186154445,,1.3390213413492928,,0.5668826575177769,,,4513567,,5973954,,4461433,,66794,,10538255,,600242,,No,,,,,,
Lane Transit District,Eugene,OR,7,7,Independent Public Agency or Authority of Transit Service,Full Reporter,247421,325,RB,DO,8,,0.6868727790781239,,0.35045336139126143,,151.3013415315819,,77.19633873672443,,1.9599548891507683,,0.6868677615485338,,,1897201,,5413562,,2762085,,35780,,7881520,,429059,,No,,,,,,
Kansas City Area Transportation Authority,Kansas City,MO,7005,70005,Independent Public Agency or Authority of Transit Service,Full Reporter,1519417,295,RB,DO,11,,0.42799442237291535,,0.11430508663746199,,121.15137583665742,,32.35607238636108,,3.744316503869792,,1.404774485071503,,,614487,,5375850,,1435736,,44373,,3826842,,512787,,No,,,,,,
Interurban Transit Partnership,Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter,569935,246,RB,DO,8,,0.7789114068628445,,0.25115579758913614,,77.33015287867288,,24.934692254870072,,3.1013076916387163,,0.9121493988415502,,,537385,,2139648,,689918,,27669,,2345721,,371395,,No,,,,,,
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,1048,10048,State Government Unit or Department of Transportation,Full Reporter,924859,233,RB,DO,9,,1.0199969370956008,,0.12200816370644912,,205.82213215194645,,24.61966255066453,,8.360071212527279,,1.3639306231288302,,,266413,,2183567,,261190,,10609,,1600937,,181370,,No,,,,,,
Roaring Fork Transportation Authority,Glenwood Springs,CO,8R01-013,8R01-80289,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,118,RB,DO,26,,1.9667253071464206,,0.19812571049326794,,124.2776989166978,,12.519596563317146,,9.926653649594092,,,,,1647868,,8317285,,837874,,66925,,0,,1807472,,No,,,,,,
Transfort ,Fort Collins,CO,8011,80011,"City, County or Local Government Unit or Department of Transportation",Full Reporter,264465,49,RB,DO,6,,0.5054284933093479,,0.18061802978668787,,95.98186662975395,,34.299719694085894,,2.7983280180072017,,1.0973837318567492,,,500960,,2773588,,991159,,28897,,2527455,,297539,W,No,,,,,,
